# Boundary,Annual demand (TWh),Annual Energy Losses (TWh),PV Capacity (GW),PV Avg Annual Gen (GWh),Hydro Capacity (GW),Hydro Avg Annual Gen (GWh),Inter Capacity (GW),India Avg Annual Imports (GWh),India Avg Annual Exports (GWh),PHES-PowerCap (GW),PHES-EnergyCap (GWh),SPKP, KPLP, LPGP, GPBP, BPMP, EPMP, TISP, GILP, MIMP, KIEP,LCOE,LCOG,LCOB,LCOG_PV,LCOG_Wind,LCOG_Hydro,LCOG_IndiaImports,LCOBS_PHES,LCOBT,LCOB_LossesExports
0.000000,883.483766,42.415064,101.172002,883.136536,2.518000,11.844999,0.000000,0.000000,771.279671,89.250857,187.006091,3813.329695,3834.533919,4370.151633,4394.875169,4398.307014,4399.617705,3834.244917,658.368765,15.886001,7.695908,80.831778,12.954396,67.877382,12.457525,0.000000,50.000000,0.000000,3.900841,63.146159,0.830382
1.000000,112.204095,2.391800,101.172002,111.943909,0.000000,2.502000,11.757956,0.000000,0.000000,0.000000,89.250857,187.006091,6.994230,18.998418,15.886001,7.695908,619.062982,12.950793,606.112189,12.457525,0.000000,50.000000,0.000000,29.877122,6.487419,569.747648,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,771.279671,40.208894,0.000000,771.192628,0.000000,0.000000,0.016000,0.087043,0.000000,0.000000,771.279671,0.000000,0.000000,3834.244917,658.368765,0.000000,0.000000,72.653171,0.005643,72.647529,12.457525,0.000000,50.000000,0.000000,0.000000,72.411712,0.235816,0.000000,0.000000,0.000000,0.000000
