Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Temperature,Relative Humidity,Wind Direction,Wind Speed
2013,1,1,0,45,0,0,0,1.0,84.6,41,1.0
2013,1,1,1,45,0,0,0,1.0,81.2,39,1.1
2013,1,1,2,45,0,0,0,1.0,79.1,37,1.1
2013,1,1,3,45,0,0,0,-2.0,78.5,37,1.0
2013,1,1,4,45,0,0,0,-4.0,76.4,39,1.0
2013,1,1,5,45,0,0,0,3.0,37.3,49,0.6
2013,1,1,6,45,36,34,38,3.0,42.0,49,0.5
2013,1,1,7,45,633,60,231,5.0,41.6,110,0.3
2013,1,1,8,45,851,65,424,8.0,41.8,194,0.7
2013,1,1,9,45,917,73,568,9.0,52.5,205,1.3
2013,1,1,10,45,946,76,654,9.0,60.1,211,1.6
2013,1,1,11,45,951,77,675,9.0,63.8,214,1.7
2013,1,1,12,45,934,75,627,9.0,65.2,216,1.8
2013,1,1,13,45,890,70,516,9.0,65.6,217,1.8
2013,1,1,14,45,799,61,352,7.0,72.5,219,1.7
2013,1,1,15,45,585,44,159,5.0,82.5,219,1.4
2013,1,1,16,45,66,7,13,6.0,85.5,219,1.0
2013,1,1,17,45,0,0,0,6.0,84.9,218,0.6
2013,1,1,18,45,0,0,0,5.0,86.0,172,0.3
2013,1,1,19,45,0,0,0,3.0,92.5,111,0.4
2013,1,1,20,45,0,0,0,1.0,95.1,72,0.5
2013,1,1,21,45,0,0,0,0.0,92.6,45,0.6
2013,1,1,22,45,0,0,0,0.0,89.3,40,0.8
2013,1,1,23,45,0,0,0,1.0,84.6,41,1.0
2013,1,2,0,45,0,0,0,1.0,81.2,39,1.1
2013,1,2,1,45,0,0,0,1.0,79.1,37,1.1
2013,1,2,2,45,0,0,0,-2.0,78.5,37,1.0
2013,1,2,3,45,0,0,0,-4.0,76.4,39,1.0
2013,1,2,4,45,0,0,0,-3.0,69.2,43,1.0
2013,1,2,5,45,0,0,0,-3.0,62.2,43,1.0
2013,1,2,6,45,30,34,38,-1.0,58.5,43,1.0
2013,1,2,7,45,503,85,221,3.0,47.9,38,0.5
2013,1,2,8,45,728,110,417,6.0,40.3,239,0.5
2013,1,2,9,45,816,126,567,7.0,43.6,227,1.2
2013,1,2,10,45,859,131,657,7.0,47.3,227,1.6
2013,1,2,11,45,895,119,683,8.0,49.5,226,1.8
2013,1,2,12,45,888,109,635,8.0,50.5,225,1.8
2013,1,2,13,45,836,101,521,8.0,48.9,227,1.8
2013,1,2,14,45,717,88,352,7.0,50.3,227,1.7
2013,1,2,15,45,493,57,157,6.0,56.7,227,1.4
2013,1,2,16,45,50,8,13,6.0,59.2,230,0.8
2013,1,2,17,45,0,0,0,5.0,56.8,250,0.2
2013,1,2,18,45,0,0,0,5.0,54.8,50,0.4
2013,1,2,19,45,0,0,0,4.0,56.3,45,0.8
2013,1,2,20,45,0,0,0,2.0,56.1,41,0.9
2013,1,2,21,45,0,0,0,2.0,53.1,38,0.9
2013,1,2,22,45,0,0,0,2.0,49.7,36,0.9
2013,1,2,23,45,0,0,0,2.0,45.3,37,1.0
2013,1,3,0,45,0,0,0,2.0,42.3,35,1.0
2013,1,3,1,45,0,0,0,1.0,40.5,34,1.2
2013,1,3,2,45,0,0,0,0.0,41.7,40,1.3
2013,1,3,3,45,0,0,0,0.0,41.7,42,1.3
2013,1,3,4,45,0,0,0,0.0,38.4,38,1.2
2013,1,3,5,45,0,0,0,1.0,36.2,39,1.1
2013,1,3,6,45,181,26,48,0.0,42.9,41,1.0
2013,1,3,7,45,724,54,243,3.0,42.9,47,0.6
2013,1,3,8,45,882,66,437,7.0,35.0,190,0.4
2013,1,3,9,45,947,74,587,8.0,37.6,219,1.1
2013,1,3,10,45,974,78,675,9.0,42.7,222,1.5
2013,1,3,11,45,966,84,694,9.0,47.1,223,1.7
2013,1,3,12,45,751,152,601,9.0,50.3,223,1.8
