Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Temperature,Relative Humidity,Wind Direction,Wind Speed
2020,1,1,0,45,0,0,0,-2.0,65.8,41,0.9
2020,1,1,1,45,0,0,0,-2.0,63.0,43,0.9
2020,1,1,2,45,0,0,0,-3.0,61.9,45,0.8
2020,1,1,3,45,0,0,0,-2.0,61.5,45,0.8
2020,1,1,4,45,0,0,0,-2.0,59.4,43,1.0
2020,1,1,5,45,0,0,0,-2.0,58.0,41,1.1
2020,1,1,6,45,5,31,31,-1.0,56.7,43,0.9
2020,1,1,7,45,175,127,174,0.0,55.8,59,0.7
2020,1,1,8,45,538,146,371,1.0,56.6,138,0.4
2020,1,1,9,45,785,119,543,3.0,55.6,198,0.8
2020,1,1,10,45,483,249,542,6.0,55.9,206,1.1
2020,1,1,11,45,567,221,578,7.0,59.4,211,1.3
2020,1,1,12,45,25,234,250,6.0,64.3,215,1.4
2020,1,1,13,45,3,168,170,6.0,67.7,216,1.3
2020,1,1,14,45,300,151,267,4.0,75.3,207,1.1
2020,1,1,15,45,0,76,76,2.0,84.5,169,0.6
2020,1,1,16,45,59,7,12,3.0,81.3,81,0.5
2020,1,1,17,45,0,0,0,3.0,76.1,53,0.8
2020,1,1,18,45,0,0,0,2.0,73.8,47,0.9
2020,1,1,19,45,0,0,0,0.0,76.3,43,1.0
2020,1,1,20,45,0,0,0,-1.0,77.7,41,1.1
2020,1,1,21,45,0,0,0,-2.0,75.2,40,1.2
2020,1,1,22,45,0,0,0,-3.0,71.9,39,1.3
2020,1,1,23,45,0,0,0,-4.0,68.5,42,1.3
2020,1,2,0,45,0,0,0,-4.0,68.7,43,1.2
2020,1,2,1,45,0,0,0,-4.0,68.2,43,1.0
2020,1,2,2,45,0,0,0,-4.0,64.6,49,1.0
2020,1,2,3,45,0,0,0,-4.0,61.4,47,1.0
2020,1,2,4,45,0,0,0,-3.0,60.4,43,1.0
2020,1,2,5,45,0,0,0,-3.0,60.0,45,0.9
2020,1,2,6,45,1,28,28,-2.0,59.9,49,1.1
2020,1,2,7,45,15,91,96,-2.0,57.8,60,0.9
2020,1,2,8,45,0,176,176,-1.0,57.7,125,0.5
2020,1,2,9,45,0,188,188,0.0,61.4,193,0.7
2020,1,2,10,45,0,169,169,2.0,66.4,214,0.8
2020,1,2,11,45,0,121,121,2.0,72.4,214,0.8
2020,1,2,12,45,0,93,93,2.0,80.0,205,0.9
2020,1,2,13,45,0,76,76,2.0,85.3,203,0.9
2020,1,2,14,45,0,61,61,1.0,90.4,197,0.5
2020,1,2,15,45,0,41,41,0.0,93.3,188,0.4
2020,1,2,16,45,0,5,5,0.0,89.0,119,0.3
2020,1,2,17,45,0,0,0,0.0,83.9,59,0.7
2020,1,2,18,45,0,0,0,0.0,82.9,47,1.0
2020,1,2,19,45,0,0,0,-1.0,83.1,49,1.1
2020,1,2,20,45,0,0,0,-2.0,80.3,49,1.1
2020,1,2,21,45,0,0,0,-2.0,79.9,49,0.9
2020,1,2,22,45,0,0,0,-3.0,79.9,48,0.8
2020,1,2,23,45,0,0,0,-2.0,76.6,43,0.9
2020,1,3,0,45,0,0,0,-3.0,74.2,39,1.0
2020,1,3,1,45,0,0,0,-4.0,73.4,37,1.1
2020,1,3,2,45,0,0,0,-5.0,69.4,40,1.6
2020,1,3,3,45,0,0,0,-6.0,64.6,40,1.8
2020,1,3,4,45,0,0,0,-6.0,60.6,41,1.4
2020,1,3,5,45,0,0,0,-6.0,56.1,41,1.1
2020,1,3,6,45,8,34,35,-6.0,52.8,39,1.0
2020,1,3,7,45,108,136,169,-5.0,58.8,37,1.0
2020,1,3,8,45,436,174,358,-3.0,58.3,37,0.8
2020,1,3,9,45,481,221,482,0.0,54.7,66,0.2
2020,1,3,10,45,564,228,573,2.0,59.4,221,0.7
2020,1,3,11,45,379,299,539,2.0,61.0,225,1.0
2020,1,3,12,45,77,354,401,2.0,65.1,223,1.0
2020,1,3,13,45,0,289,289,2.0,71.7,223,1.0
2020,1,3,14,45,0,183,183,1.0,76.7,215,1.0
2020,1,3,15,45,0,78,78,1.0,78.8,212,0.7
2020,1,3,16,45,0,10,10,1.0,79.4,245,0.2
2020,1,3,17,45,0,0,0,0.0,79.4,312,0.2
2020,1,3,18,45,0,0,0,-1.0,77.5,4,0.5
2020,1,3,19,45,0,0,0,-1.0,74.2,18,0.6
2020,1,3,20,45,0,0,0,-2.0,70.5,29,0.6
2020,1,3,21,45,0,0,0,-3.0,70.4,39,0.6
2020,1,3,22,45,0,0,0,-3.0,71.2,42,0.7
2020,1,3,23,45,0,0,0,-3.0,69.5,42,0.7
2020,1,4,0,45,0,0,0,-4.0,68.8,40,0.8
2020,1,4,1,45,0,0,0,-4.0,66.9,38,0.8
2020,1,4,2,45,0,0,0,-5.0,62.0,37,1.1
2020,1,4,3,45,0,0,0,-6.0,59.7,40,1.5
2020,1,4,4,45,0,0,0,-7.0,56.8,39,1.7
2020,1,4,5,45,0,0,0,-7.0,51.2,39,1.6
2020,1,4,6,45,17,33,34,-7.0,50.5,38,1.4
2020,1,4,7,45,27,147,156,-6.0,57.0,34,1.3
2020,1,4,8,45,484,161,371,-4.0,62.9,27,0.9
2020,1,4,9,45,540,207,497,-2.0,67.1,295,0.3
2020,1,4,10,45,592,220,581,-1.0,72.0,243,0.7
2020,1,4,11,45,209,355,487,-1.0,75.7,245,0.8
2020,1,4,12,45,75,365,409,-1.0,79.2,242,1.0
2020,1,4,13,45,70,305,340,-1.0,80.7,247,0.9
2020,1,4,14,45,116,209,250,-1.0,74.4,258,0.7
2020,1,4,15,45,396,76,149,-1.0,65.8,290,0.4
2020,1,4,16,45,84,8,16,-1.0,62.6,352,0.4
2020,1,4,17,45,0,0,0,-1.0,58.2,15,0.6
2020,1,4,18,45,0,0,0,-1.0,54.3,33,0.9
2020,1,4,19,45,0,0,0,-3.0,52.1,38,1.5
2020,1,4,20,45,0,0,0,-4.0,48.5,39,1.8
2020,1,4,21,45,0,0,0,-4.0,41.8,40,1.8
2020,1,4,22,45,0,0,0,-3.0,35.9,39,1.7
2020,1,4,23,45,0,0,0,-3.0,33.7,40,1.8
2020,1,5,0,45,0,0,0,-3.0,34.3,40,1.6
2020,1,5,1,45,0,0,0,-5.0,35.9,38,1.4
2020,1,5,2,45,0,0,0,-7.0,41.2,37,1.6
2020,1,5,3,45,0,0,0,-8.0,44.2,37,1.6
2020,1,5,4,45,0,0,0,-7.0,40.0,39,1.3
2020,1,5,5,45,0,0,0,-7.0,36.6,40,1.1
2020,1,5,6,45,126,29,44,-6.0,36.3,39,1.0
2020,1,5,7,45,635,65,234,-5.0,38.5,41,1.1
2020,1,5,8,45,859,70,432,-1.0,40.1,53,0.7
2020,1,5,9,45,930,76,581,3.0,35.5,125,0.2
2020,1,5,10,45,957,80,669,5.0,32.3,195,0.5
2020,1,5,11,45,950,86,688,5.0,40.4,202,0.9
2020,1,5,12,45,919,88,637,6.0,49.5,201,1.1
2020,1,5,13,45,866,83,524,6.0,53.5,202,1.1
2020,1,5,14,45,177,178,253,5.0,58.7,205,0.7
2020,1,5,15,45,263,86,138,3.0,62.8,229,0.2
2020,1,5,16,45,69,9,15,3.0,63.5,57,0.1
2020,1,5,17,45,0,0,0,3.0,61.5,79,0.3
2020,1,5,18,45,0,0,0,2.0,58.9,55,0.5
2020,1,5,19,45,0,0,0,1.0,59.2,45,0.8
2020,1,5,20,45,0,0,0,-1.0,58.4,40,0.9
2020,1,5,21,45,0,0,0,-2.0,54.0,38,0.8
2020,1,5,22,45,0,0,0,-2.0,52.3,37,0.8
2020,1,5,23,45,0,0,0,-4.0,54.9,36,0.9
2020,1,6,0,45,0,0,0,-5.0,55.0,40,1.2
2020,1,6,1,45,0,0,0,-5.0,53.2,39,1.0
2020,1,6,2,45,0,0,0,-5.0,50.2,37,1.1
2020,1,6,3,45,0,0,0,-4.0,49.8,38,1.2
2020,1,6,4,45,0,0,0,-4.0,52.8,38,1.1
2020,1,6,5,45,0,0,0,-3.0,50.5,41,1.1
2020,1,6,6,45,8,31,31,-2.0,48.2,45,0.8
2020,1,6,7,45,405,90,204,-1.0,53.8,43,0.8
2020,1,6,8,45,512,147,363,0.0,60.8,42,0.6
2020,1,6,9,45,569,177,492,1.0,68.1,182,0.2
2020,1,6,10,45,751,150,611,3.0,71.0,218,0.6
2020,1,6,11,45,517,241,570,5.0,69.5,220,0.8
2020,1,6,12,45,368,260,486,5.0,71.2,221,1.0
2020,1,6,13,45,37,259,279,6.0,72.8,221,1.1
2020,1,6,14,45,57,170,188,4.0,78.6,223,1.1
2020,1,6,15,45,68,83,101,3.0,81.6,225,0.7
2020,1,6,16,45,0,10,10,4.0,81.3,181,0.2
2020,1,6,17,45,0,0,0,3.0,81.6,37,0.4
2020,1,6,18,45,0,0,0,3.0,79.8,34,0.6
2020,1,6,19,45,0,0,0,2.0,80.9,45,0.8
2020,1,6,20,45,0,0,0,1.0,82.5,45,1.0
2020,1,6,21,45,0,0,0,1.0,83.7,45,1.1
2020,1,6,22,45,0,0,0,1.0,84.0,47,1.1
2020,1,6,23,45,0,0,0,1.0,82.2,47,1.1
2020,1,7,0,45,0,0,0,1.0,82.7,44,1.3
2020,1,7,1,45,0,0,0,0.0,82.7,42,1.4
2020,1,7,2,45,0,0,0,0.0,81.1,43,1.3
2020,1,7,3,45,0,0,0,-1.0,80.4,48,1.2
2020,1,7,4,45,0,0,0,0.0,79.6,53,1.1
2020,1,7,5,45,0,0,0,0.0,77.9,51,1.0
2020,1,7,6,45,1,14,15,1.0,74.9,47,1.0
2020,1,7,7,45,0,123,123,1.0,74.6,47,1.0
2020,1,7,8,45,0,100,100,0.0,73.7,74,0.5
2020,1,7,9,45,0,77,77,1.0,71.2,191,0.7
2020,1,7,10,45,0,254,254,3.0,73.6,215,1.2
2020,1,7,11,45,0,131,131,2.0,78.0,222,1.1
2020,1,7,12,45,0,92,92,2.0,83.2,234,0.9
2020,1,7,13,45,0,77,77,2.0,86.3,233,0.5
2020,1,7,14,45,0,71,71,1.0,92.5,170,0.3
2020,1,7,15,45,0,50,50,1.0,96.5,181,0.4
2020,1,7,16,45,0,11,11,1.0,93.4,152,0.3
2020,1,7,17,45,0,0,0,2.0,91.7,89,0.4
2020,1,7,18,45,0,0,0,2.0,92.1,76,0.5
2020,1,7,19,45,0,0,0,1.0,93.7,90,0.6
2020,1,7,20,45,0,0,0,1.0,90.7,85,0.6
2020,1,7,21,45,0,0,0,1.0,86.5,77,0.7
2020,1,7,22,45,0,0,0,0.0,85.2,67,0.5
2020,1,7,23,45,0,0,0,0.0,83.6,71,0.5
2020,1,8,0,45,0,0,0,0.0,81.5,68,0.7
2020,1,8,1,45,0,0,0,0.0,79.0,51,0.6
2020,1,8,2,45,0,0,0,-1.0,78.9,34,1.0
2020,1,8,3,45,0,0,0,-1.0,79.7,38,1.5
2020,1,8,4,45,0,0,0,-1.0,77.4,45,1.3
2020,1,8,5,45,0,0,0,-1.0,74.5,43,1.1
2020,1,8,6,45,2,30,31,-1.0,71.6,45,1.0
2020,1,8,7,45,0,120,120,1.0,69.7,45,1.0
2020,1,8,8,45,13,233,240,1.0,72.4,84,0.5
2020,1,8,9,45,146,311,391,2.0,75.9,199,0.7
2020,1,8,10,45,115,365,435,3.0,76.4,211,1.1
2020,1,8,11,45,24,394,410,4.0,77.0,215,1.0
2020,1,8,12,45,0,327,327,4.0,79.1,221,0.9
2020,1,8,13,45,0,243,243,4.0,81.4,223,0.9
2020,1,8,14,45,0,141,141,3.0,87.4,223,0.8
2020,1,8,15,45,0,80,80,2.0,91.4,233,0.6
2020,1,8,16,45,0,13,13,2.0,90.1,253,0.3
2020,1,8,17,45,0,0,0,1.0,89.4,303,0.1
2020,1,8,18,45,0,0,0,1.0,88.7,0,0.2
2020,1,8,19,45,0,0,0,-1.0,89.2,11,0.3
2020,1,8,20,45,0,0,0,-2.0,87.2,20,0.4
2020,1,8,21,45,0,0,0,-2.0,83.0,28,0.6
2020,1,8,22,45,0,0,0,-2.0,79.3,34,0.7
2020,1,8,23,45,0,0,0,-3.0,74.0,32,0.8
2020,1,9,0,45,0,0,0,-3.0,70.2,34,0.9
2020,1,9,1,45,0,0,0,-4.0,65.1,37,1.0
2020,1,9,2,45,0,0,0,-4.0,58.6,36,1.1
2020,1,9,3,45,0,0,0,-5.0,56.2,37,1.3
2020,1,9,4,45,0,0,0,-4.0,56.2,40,1.3
2020,1,9,5,45,0,0,0,-4.0,50.2,42,1.2
2020,1,9,6,45,46,33,38,-4.0,48.2,42,1.2
2020,1,9,7,45,192,129,183,-3.0,58.3,45,1.1
2020,1,9,8,45,487,168,369,-2.0,66.7,43,0.6
2020,1,9,9,45,429,240,475,1.0,56.1,307,0.2
2020,1,9,10,45,315,313,508,3.0,50.4,237,0.6
2020,1,9,11,45,396,284,538,4.0,58.3,235,1.0
2020,1,9,12,45,0,311,311,4.0,58.0,241,1.0
2020,1,9,13,45,96,296,348,5.0,55.8,245,0.9
