Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Temperature,Relative Humidity,Wind Direction,Wind Speed
2016,1,1,0,45,0,0,0,8.2,88.4,15,1.2
2016,1,1,1,45,0,0,0,7.2,89.6,11,1.3
2016,1,1,2,45,0,0,0,6.3,92.4,8,1.5
2016,1,1,3,45,0,0,0,6.0,92.7,7,1.7
2016,1,1,4,45,0,0,0,6.5,89.5,8,1.7
2016,1,1,5,45,0,0,0,7.4,87.4,9,1.8
2016,1,1,6,45,3,36,36,8.2,85.1,8,1.9
2016,1,1,7,45,300,109,197,10.4,80.6,7,1.6
2016,1,1,8,45,466,164,369,13.0,76.7,23,0.9
2016,1,1,9,45,549,200,506,15.1,70.9,101,0.5
2016,1,1,10,45,594,218,589,17.1,60.8,153,0.8
2016,1,1,11,45,614,217,609,17.9,54.3,168,1.0
2016,1,1,12,45,566,213,551,18.8,51.5,180,1.1
2016,1,1,13,45,474,192,430,19.5,50.7,191,1.3
2016,1,1,14,45,341,144,269,17.4,59.8,197,1.4
2016,1,1,15,45,157,73,105,15.2,71.4,189,1.2
2016,1,1,16,45,5,6,7,15.6,70.3,191,0.7
2016,1,1,17,45,0,0,0,16.2,66.7,276,0.3
2016,1,1,18,45,0,0,0,16.0,67.1,343,0.5
2016,1,1,19,45,0,0,0,14.4,70.5,4,0.7
2016,1,1,20,45,0,0,0,12.2,76.3,7,0.8
2016,1,1,21,45,0,0,0,10.4,81.7,6,1.0
2016,1,1,22,45,0,0,0,9.1,85.8,3,1.1
2016,1,1,23,45,0,0,0,8.6,87.2,3,1.1
2016,1,2,0,45,0,0,0,8.0,87.8,5,1.2
2016,1,2,1,45,0,0,0,7.5,88.4,5,1.2
2016,1,2,2,45,0,0,0,6.4,90.1,4,1.3
2016,1,2,3,45,0,0,0,5.6,91.3,4,1.3
2016,1,2,4,45,0,0,0,6.2,89.8,5,1.1
2016,1,2,5,45,0,0,0,6.6,88.9,5,1.1
2016,1,2,6,45,1,35,35,7.5,86.0,5,1.1
2016,1,2,7,45,246,116,192,10.2,83.0,8,1.1
2016,1,2,8,45,605,133,400,12.5,80.9,21,0.6
2016,1,2,9,45,702,153,543,15.3,69.5,123,0.3
2016,1,2,10,45,730,168,624,17.8,60.1,186,0.8
2016,1,2,11,45,723,175,637,18.5,59.2,197,1.4
2016,1,2,12,45,676,176,580,19.2,56.9,201,1.7
2016,1,2,13,45,598,161,462,19.9,55.0,206,1.7
2016,1,2,14,45,514,118,306,17.9,61.7,215,1.6
2016,1,2,15,45,278,67,123,15.8,69.1,214,1.3
2016,1,2,16,45,14,7,8,16.2,67.6,196,0.8
2016,1,2,17,45,0,0,0,16.9,64.7,210,0.2
2016,1,2,18,45,0,0,0,16.7,65.5,7,0.2
2016,1,2,19,45,0,0,0,15.0,71.1,30,0.4
2016,1,2,20,45,0,0,0,13.5,76.0,19,0.5
2016,1,2,21,45,0,0,0,12.6,78.5,10,0.6
2016,1,2,22,45,0,0,0,11.0,82.3,7,0.8
2016,1,2,23,45,0,0,0,9.6,85.9,8,1.1
2016,1,3,0,45,0,0,0,8.2,88.7,10,1.2
2016,1,3,1,45,0,0,0,7.3,89.9,9,1.3
2016,1,3,2,45,0,0,0,7.1,92.4,6,1.6
2016,1,3,3,45,0,0,0,6.9,95.0,3,1.7
2016,1,3,4,45,0,0,0,7.7,92.4,4,1.4
2016,1,3,5,45,0,0,0,7.9,89.6,7,1.3
2016,1,3,6,45,0,34,34,8.7,87.0,10,1.4
2016,1,3,7,45,217,117,184,10.6,84.5,15,1.3
2016,1,3,8,45,280,206,326,11.8,83.3,38,0.9
2016,1,3,9,45,466,220,482,13.8,73.5,87,0.6
2016,1,3,10,45,537,233,568,16.4,62.5,151,0.8
2016,1,3,11,45,560,232,590,17.4,62.3,180,1.3
2016,1,3,12,45,516,225,534,17.8,61.9,195,1.6
2016,1,3,13,45,422,200,414,18.4,60.0,207,1.6
2016,1,3,14,45,268,151,251,16.3,71.9,220,1.4
