Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,DNI Units,DHI Units,GHI Units,Temperature Units,Relative Humidity Units,Wind Direction Units,Wind Speed Units
Solcast,-,-,-,-,27.7179,87.3067,5.75,2192,5.75,w/m2,w/m2,w/m2,c,%,Degrees,m/s
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Temperature,Relative Humidity,Wind Direction,Wind Speed
2022,1,1,0,45,0,0,0,-14.4,53.2,347,0.9
2022,1,1,1,45,0,0,0,-14.6,54.8,348,1.0
2022,1,1,2,45,0,0,0,-14.6,55.3,350,1.2
2022,1,1,3,45,0,0,0,-14.6,56.0,351,1.2
2022,1,1,4,45,0,0,0,-14.9,53.8,350,1.1
2022,1,1,5,45,0,0,0,-15.2,51.6,347,1.1
2022,1,1,6,45,151,34,54,-14.7,50.4,344,1.1
2022,1,1,7,45,177,134,182,-14.0,52.7,345,1.0
2022,1,1,8,45,115,235,289,-13.8,60.8,351,1.0
2022,1,1,9,45,356,252,443,-9.1,59.9,348,0.8
2022,1,1,10,45,274,312,482,-3.6,54.5,278,0.3
2022,1,1,11,45,272,323,494,-3.6,56.3,194,0.7
2022,1,1,12,45,119,339,409,-4.0,59.2,186,0.9
2022,1,1,13,45,7,288,292,-2.6,61.5,188,0.8
2022,1,1,14,45,0,200,200,-3.3,67.4,258,0.3
2022,1,1,15,45,29,94,98,-4.9,68.8,347,0.7
2022,1,1,16,45,10,6,7,-5.5,66.0,348,0.9
2022,1,1,17,45,0,0,0,-8.5,65.3,344,0.9
2022,1,1,18,45,0,0,0,-11.8,62.1,345,1.0
2022,1,1,19,45,0,0,0,-13.2,58.4,346,1.0
2022,1,1,20,45,0,0,0,-13.4,53.5,349,1.1
2022,1,1,21,45,0,0,0,-14.0,50.0,350,1.1
2022,1,1,22,45,0,0,0,-14.6,50.0,350,1.1
2022,1,1,23,45,0,0,0,-15.0,50.5,349,1.1
2022,1,2,0,45,0,0,0,-15.9,52.8,349,1.0
2022,1,2,1,45,0,0,0,-17.2,55.0,349,1.0
2022,1,2,2,45,0,0,0,-18.0,54.8,349,1.3
2022,1,2,3,45,0,0,0,-18.5,54.9,349,1.6
2022,1,2,4,45,0,0,0,-18.8,54.3,349,1.6
2022,1,2,5,45,0,0,0,-19.4,53.6,349,1.6
2022,1,2,6,45,241,28,59,-19.0,52.5,349,1.5
2022,1,2,7,45,604,74,240,-18.3,53.7,347,1.3
2022,1,2,8,45,641,124,400,-17.6,61.1,349,1.3
2022,1,2,9,45,580,187,503,-13.2,62.1,350,1.1
