Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Temperature,Relative Humidity,Wind Direction,Wind Speed
2020,1,1,0,45,0,0,0,-1.1,66.5,37,1.3
2020,1,1,1,45,0,0,0,-1.6,62.4,38,1.1
2020,1,1,2,45,0,0,0,-0.8,54.1,38,1.2
2020,1,1,3,45,0,0,0,-0.8,48.0,40,1.2
2020,1,1,4,45,0,0,0,-0.9,47.1,39,1.1
2020,1,1,5,45,0,0,0,-0.3,45.8,35,1.2
2020,1,1,6,45,0,8,8,1.2,44.9,32,1.1
2020,1,1,7,45,0,34,34,3.4,46.0,36,0.9
2020,1,1,8,45,0,80,80,5.1,47.9,54,0.6
2020,1,1,9,45,0,162,162,6.6,47.8,121,0.3
2020,1,1,10,45,0,329,329,7.8,46.7,190,0.5
2020,1,1,11,45,10,379,385,8.1,47.2,200,0.9
2020,1,1,12,45,219,318,449,8.7,47.3,207,1.0
2020,1,1,13,45,30,286,301,9.6,47.1,210,1.1
2020,1,1,14,45,0,147,147,8.1,54.6,203,1.0
2020,1,1,15,45,196,78,111,7.0,58.5,169,0.4
2020,1,1,16,45,0,4,4,8.0,54.0,49,0.3
2020,1,1,17,45,0,0,0,8.4,52.5,27,0.4
2020,1,1,18,45,0,0,0,8.0,51.9,29,0.5
2020,1,1,19,45,0,0,0,7.4,51.3,31,0.6
2020,1,1,20,45,0,0,0,6.7,50.9,36,0.7
2020,1,1,21,45,0,0,0,5.7,54.2,40,0.8
2020,1,1,22,45,0,0,0,5.0,56.9,42,0.8
2020,1,1,23,45,0,0,0,4.6,55.9,43,0.9
2020,1,2,0,45,0,0,0,3.5,57.6,43,0.9
2020,1,2,1,45,0,0,0,3.1,58.1,40,0.8
2020,1,2,2,45,0,0,0,3.0,57.0,42,0.7
2020,1,2,3,45,0,0,0,2.8,57.6,43,0.7
2020,1,2,4,45,0,0,0,3.2,55.8,32,0.9
2020,1,2,5,45,0,0,0,3.5,53.2,33,1.0
2020,1,2,6,45,33,40,45,3.9,56.0,43,0.9
2020,1,2,7,45,427,98,226,4.8,56.7,54,0.5
2020,1,2,8,45,692,113,418,5.8,54.2,161,0.2
2020,1,2,9,45,760,133,555,7.9,51.0,212,0.5
2020,1,2,10,45,360,284,504,10.5,45.7,222,0.7
2020,1,2,11,45,371,295,530,11.2,46.0,225,1.1
2020,1,2,12,45,167,296,398,10.9,49.6,227,1.2
2020,1,2,13,45,0,218,218,10.4,52.5,230,0.9
2020,1,2,14,45,271,157,242,8.2,63.7,231,0.7
2020,1,2,15,45,277,66,121,6.6,74.6,203,0.6
2020,1,2,16,45,20,5,7,7.1,71.6,130,0.4
2020,1,2,17,45,0,0,0,7.6,67.4,82,0.4
2020,1,2,18,45,0,0,0,7.5,66.0,82,0.4
2020,1,2,19,45,0,0,0,6.5,67.7,67,0.5
2020,1,2,20,45,0,0,0,5.8,68.0,48,0.7
2020,1,2,21,45,0,0,0,5.2,65.9,42,0.7
2020,1,2,22,45,0,0,0,4.0,65.7,40,0.8
2020,1,2,23,45,0,0,0,3.4,65.1,34,0.9
2020,1,3,0,45,0,0,0,2.6,66.1,34,1.0
2020,1,3,1,45,0,0,0,2.0,66.2,34,1.0
2020,1,3,2,45,0,0,0,2.0,63.3,34,1.0
2020,1,3,3,45,0,0,0,1.8,61.4,37,1.1
2020,1,3,4,45,0,0,0,2.2,58.8,39,1.0
2020,1,3,5,45,0,0,0,2.8,55.7,45,0.8
2020,1,3,6,45,0,23,23,3.2,56.2,52,0.8
2020,1,3,7,45,176,134,191,3.2,61.7,62,0.7
2020,1,3,8,45,316,207,340,3.6,65.8,133,0.5
2020,1,3,9,45,1,275,276,5.3,64.3,198,1.0
2020,1,3,10,45,0,225,225,7.2,63.6,207,1.1
2020,1,3,11,45,7,369,374,7.4,67.9,199,1.1
2020,1,3,12,45,0,174,174,6.6,75.9,188,1.0
2020,1,3,13,45,0,111,111,6.3,81.4,184,0.7
