Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,DNI Units,DHI Units,GHI Units,Temperature Units,Relative Humidity Units,Wind Direction Units,Wind Speed Units
Solcast,-,-,-,-,28.9754,80.6335,5.75,1675,5.75,w/m2,w/m2,w/m2,c,%,Degrees,m/s
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Temperature,Relative Humidity,Wind Direction,Wind Speed
2013,1,1,0,45,0,0,0,7.0,83.2,7,0.9
2013,1,1,1,45,0,0,0,6.3,85.5,11,0.8
2013,1,1,2,45,0,0,0,5.4,87.6,23,0.9
2013,1,1,3,45,0,0,0,4.5,88.7,32,0.9
2013,1,1,4,45,0,0,0,4.2,88.1,36,0.9
2013,1,1,5,45,0,0,0,4.4,85.9,37,1.0
2013,1,1,6,45,15,8,9,4.6,84.1,36,1.2
2013,1,1,7,45,289,73,136,7.1,76.9,37,1.3
2013,1,1,8,45,645,107,335,10.8,63.4,70,1.0
2013,1,1,9,45,706,145,490,12.8,54.7,132,1.1
2013,1,1,10,45,835,135,615,13.4,53.1,156,1.5
2013,1,1,11,45,886,127,668,13.4,53.1,157,1.7
2013,1,1,12,45,882,123,647,14.0,50.4,154,2.1
2013,1,1,13,45,788,133,547,15.0,46.4,162,2.1
2013,1,1,14,45,207,214,306,14.6,50.5,172,1.7
2013,1,1,15,45,178,129,169,13.2,59.6,180,1.3
2013,1,1,16,45,4,29,30,12.6,64.6,191,1.1
2013,1,1,17,45,0,0,0,12.7,64.4,169,0.5
2013,1,1,18,45,0,0,0,12.5,64.4,43,0.3
2013,1,1,19,45,0,0,0,10.2,69.9,11,0.8
2013,1,1,20,45,0,0,0,8.1,74.6,15,1.0
2013,1,1,21,45,0,0,0,7.2,74.1,22,0.9
2013,1,1,22,45,0,0,0,6.8,72.3,27,0.8
2013,1,1,23,45,0,0,0,6.8,71.7,28,0.7
2013,1,2,0,45,0,0,0,6.3,72.1,28,0.9
2013,1,2,1,45,0,0,0,5.7,74.9,27,0.9
2013,1,2,2,45,0,0,0,4.6,79.5,20,1.0
2013,1,2,3,45,0,0,0,3.6,81.9,18,1.1
2013,1,2,4,45,0,0,0,3.5,82.5,25,1.1
2013,1,2,5,45,0,0,0,3.2,83.4,31,1.1
2013,1,2,6,45,8,8,9,3.2,82.8,36,1.1
2013,1,2,7,45,239,77,130,6.0,74.1,38,1.1
2013,1,2,8,45,584,120,327,11.2,58.8,69,0.7
2013,1,2,9,45,691,155,491,14.0,49.4,146,0.8
2013,1,2,10,45,750,173,605,14.8,48.0,166,1.2
2013,1,2,11,45,834,155,666,15.2,48.3,170,1.5
2013,1,2,12,45,835,149,645,15.8,45.7,177,1.7
2013,1,2,13,45,787,140,553,16.4,40.4,183,1.8
2013,1,2,14,45,672,125,398,15.3,45.7,191,1.6
2013,1,2,15,45,447,90,205,13.8,58.1,201,1.4
2013,1,2,16,45,26,29,33,13.4,62.4,217,1.3
2013,1,2,17,45,0,0,0,13.4,60.1,240,1.0
2013,1,2,18,45,0,0,0,12.7,59.5,298,0.7
2013,1,2,19,45,0,0,0,9.4,68.2,339,1.0
2013,1,2,20,45,0,0,0,6.9,75.7,357,1.1
2013,1,2,21,45,0,0,0,6.4,76.1,8,1.1
2013,1,2,22,45,0,0,0,6.1,75.8,13,0.9
2013,1,2,23,45,0,0,0,6.0,77.2,14,0.8
2013,1,3,0,45,0,0,0,5.6,80.2,16,0.9
2013,1,3,1,45,0,0,0,5.0,82.7,20,1.0
2013,1,3,2,45,0,0,0,4.6,84.7,21,1.1
2013,1,3,3,45,0,0,0,4.6,85.9,19,1.1
2013,1,3,4,45,0,0,0,4.6,85.3,18,0.9
2013,1,3,5,45,0,0,0,4.7,84.1,18,0.9
2013,1,3,6,45,1,7,8,5.0,82.1,19,1.1
2013,1,3,7,45,141,83,115,6.6,78.9,21,1.2
2013,1,3,8,45,444,144,301,9.6,65.1,17,0.8
2013,1,3,9,45,472,214,442,11.5,49.1,245,0.4
2013,1,3,10,45,428,275,522,12.9,46.2,209,1.0
2013,1,3,11,45,563,248,593,14.0,49.4,210,1.4
2013,1,3,12,45,558,240,573,14.8,49.1,212,1.6
2013,1,3,13,45,725,155,534,15.7,48.8,215,1.7
2013,1,3,14,45,690,116,398,14.2,57.2,223,1.6
2013,1,3,15,45,470,86,208,12.1,70.1,226,1.4
2013,1,3,16,45,33,30,34,11.6,75.7,227,1.2
2013,1,3,17,45,0,0,0,11.8,74.7,237,1.0
2013,1,3,18,45,0,0,0,11.2,76.1,293,0.5
2013,1,3,19,45,0,0,0,9.2,82.4,346,0.9
2013,1,3,20,45,0,0,0,7.9,85.7,360,1.2
2013,1,3,21,45,0,0,0,7.2,85.9,5,1.1
