Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,DNI Units,DHI Units,GHI Units,Temperature Units,Relative Humidity Units,Wind Direction Units,Wind Speed Units
Solcast,-,-,-,-,26.9435,85.214,5.75,91,5.75,w/m2,w/m2,w/m2,c,%,Degrees,m/s
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Temperature,Relative Humidity,Wind Direction,Wind Speed
2019,1,1,0,45,0,0,0,8.3,88.7,312,0.8
2019,1,1,1,45,0,0,0,7.8,89.9,318,0.8
2019,1,1,2,45,0,0,0,7.2,93.4,325,0.8
2019,1,1,3,45,0,0,0,6.8,97.0,324,0.7
2019,1,1,4,45,0,0,0,7.2,97.0,309,0.6
2019,1,1,5,45,0,0,0,7.5,97.0,296,0.7
2019,1,1,6,45,0,19,19,8.4,93.8,300,0.5
2019,1,1,7,45,0,112,112,10.4,88.3,351,0.4
2019,1,1,8,45,168,208,283,13.4,79.5,36,0.4
2019,1,1,9,45,375,238,442,17.9,64.2,54,0.4
2019,1,1,10,45,426,268,531,21.4,51.6,83,0.4
2019,1,1,11,45,441,275,557,22.5,45.7,129,0.5
2019,1,1,12,45,427,260,518,23.6,40.2,165,0.8
2019,1,1,13,45,370,224,415,24.4,36.0,188,1.0
2019,1,1,14,45,270,165,269,22.2,44.1,209,1.0
2019,1,1,15,45,125,86,114,19.9,53.6,232,1.1
2019,1,1,16,45,7,11,11,18.4,58.9,258,1.1
2019,1,1,17,45,0,0,0,16.0,68.5,283,1.1
2019,1,1,18,45,0,0,0,14.8,74.2,305,1.3
2019,1,1,19,45,0,0,0,12.7,77.7,328,1.5
2019,1,1,20,45,0,0,0,10.2,81.1,343,1.7
2019,1,1,21,45,0,0,0,9.3,84.7,348,1.7
2019,1,1,22,45,0,0,0,8.7,86.7,348,1.5
2019,1,1,23,45,0,0,0,8.5,86.6,343,1.2
2019,1,2,0,45,0,0,0,8.0,87.2,339,1.0
2019,1,2,1,45,0,0,0,7.5,88.7,342,0.8
2019,1,2,2,45,0,0,0,7.2,90.2,352,0.7
2019,1,2,3,45,0,0,0,6.9,93.0,0,0.6
2019,1,2,4,45,0,0,0,7.2,94.0,354,0.5
2019,1,2,5,45,0,0,0,7.7,92.4,346,0.6
2019,1,2,6,45,0,20,20,8.4,88.2,353,0.8
2019,1,2,7,45,34,120,131,11.5,77.6,16,0.8
2019,1,2,8,45,343,179,324,15.4,67.5,60,0.6
2019,1,2,9,45,432,229,464,18.1,58.3,112,0.6
2019,1,2,10,45,495,252,559,20.5,49.8,163,0.5
2019,1,2,11,45,592,231,610,21.7,46.4,201,0.7
2019,1,2,12,45,570,221,567,22.8,41.7,227,0.9
2019,1,2,13,45,369,236,427,23.7,37.8,251,0.9
2019,1,2,14,45,177,161,235,21.8,44.5,275,1.0
2019,1,2,15,45,81,94,111,19.5,55.3,295,1.4
2019,1,2,16,45,9,11,12,17.8,62.8,311,2.0
2019,1,2,17,45,0,0,0,15.9,68.5,320,2.3
2019,1,2,18,45,0,0,0,14.7,71.0,323,2.3
2019,1,2,19,45,0,0,0,12.6,75.4,326,2.2
2019,1,2,20,45,0,0,0,10.7,78.2,326,2.2
2019,1,2,21,45,0,0,0,10.0,78.9,323,2.1
2019,1,2,22,45,0,0,0,9.6,79.9,319,1.9
2019,1,2,23,45,0,0,0,9.4,79.9,312,1.6
2019,1,3,0,45,0,0,0,8.9,80.9,303,1.2
2019,1,3,1,45,0,0,0,8.3,82.2,295,0.9
2019,1,3,2,45,0,0,0,7.7,87.8,293,0.8
2019,1,3,3,45,0,0,0,7.3,94.0,293,0.7
2019,1,3,4,45,0,0,0,7.6,93.7,287,0.5
2019,1,3,5,45,0,0,0,7.8,92.8,293,0.4
2019,1,3,6,45,0,20,20,9.0,87.9,308,0.3
2019,1,3,7,45,13,123,128,10.8,83.1,34,0.1
2019,1,3,8,45,284,188,309,12.4,77.9,142,0.2
2019,1,3,9,45,388,237,449,16.1,62.4,202,0.4
2019,1,3,10,45,429,269,535,19.8,52.3,235,0.7
2019,1,3,11,45,444,277,561,21.4,51.7,249,1.1
2019,1,3,12,45,423,263,520,22.6,48.9,252,1.4
2019,1,3,13,45,360,228,416,23.5,45.8,253,1.7
2019,1,3,14,45,256,168,268,21.7,51.9,255,2.0
2019,1,3,15,45,115,88,114,19.3,63.1,259,1.9
2019,1,3,16,45,7,11,12,18.4,66.9,274,1.9
2019,1,3,17,45,0,0,0,17.4,67.0,294,2.0
2019,1,3,18,45,0,0,0,16.5,70.4,308,1.9
2019,1,3,19,45,0,0,0,14.7,76.7,315,1.7
2019,1,3,20,45,0,0,0,12.8,81.7,319,1.5
2019,1,3,21,45,0,0,0,11.5,86.4,311,1.1
2019,1,3,22,45,0,0,0,11.1,88.7,299,1.0
2019,1,3,23,45,0,0,0,11.2,88.7,295,1.1
2019,1,4,0,45,0,0,0,10.7,88.9,293,1.0
2019,1,4,1,45,0,0,0,10.0,90.1,292,0.9
2019,1,4,2,45,0,0,0,9.2,92.2,281,0.7
2019,1,4,3,45,0,0,0,8.7,93.1,284,0.6
2019,1,4,4,45,0,0,0,9.3,94.1,291,0.5
2019,1,4,5,45,0,0,0,10.0,94.5,280,0.3
2019,1,4,6,45,0,18,18,10.4,92.3,90,0.1
2019,1,4,7,45,0,112,112,11.2,90.2,97,0.4
2019,1,4,8,45,209,200,294,12.3,88.2,107,0.7
2019,1,4,9,45,422,226,456,15.8,73.1,121,0.9
2019,1,4,10,45,467,254,545,19.7,58.4,146,0.8
2019,1,4,11,45,451,270,560,21.0,54.6,182,0.9
2019,1,4,12,45,421,260,516,22.0,50.5,201,1.2
2019,1,4,13,45,350,227,410,22.8,46.5,212,1.2
2019,1,4,14,45,224,169,257,21.3,51.8,226,0.9
2019,1,4,15,45,79,88,108,19.8,59.4,227,0.5
2019,1,4,16,45,5,11,12,19.3,62.3,286,0.2
2019,1,4,17,45,0,0,0,18.3,65.0,6,0.7
2019,1,4,18,45,0,0,0,17.7,66.8,25,1.3
2019,1,4,19,45,0,0,0,15.2,75.7,34,1.6
2019,1,4,20,45,0,0,0,12.4,85.6,39,1.7
2019,1,4,21,45,0,0,0,11.1,89.6,46,1.9
2019,1,4,22,45,0,0,0,10.4,90.7,50,2.0
2019,1,4,23,45,0,0,0,10.4,89.8,53,2.0
2019,1,5,0,45,0,0,0,10.2,89.8,55,1.9
2019,1,5,1,45,0,0,0,9.6,90.1,54,1.8
2019,1,5,2,45,0,0,0,9.2,93.2,52,1.7
2019,1,5,3,45,0,0,0,9.0,95.7,49,1.6
2019,1,5,4,45,0,0,0,9.4,94.4,53,1.3
2019,1,5,5,45,0,0,0,9.7,93.8,66,1.1
2019,1,5,6,45,0,16,16,10.5,90.8,70,1.2
2019,1,5,7,45,0,100,100,11.8,86.1,68,1.2
2019,1,5,8,45,59,224,251,12.8,82.8,79,1.1
2019,1,5,9,45,307,250,421,15.2,71.8,98,1.4
2019,1,5,10,45,417,265,524,19.1,57.2,109,1.4
2019,1,5,11,45,392,282,534,21.6,51.4,115,1.1
2019,1,5,12,45,269,303,468,22.2,48.7,121,0.7
2019,1,5,13,45,92,230,281,22.7,45.6,116,0.5
2019,1,5,14,45,0,129,129,21.6,51.4,138,0.3
2019,1,5,15,45,13,93,95,20.2,60.2,232,0.5
2019,1,5,16,45,9,12,13,19.8,61.3,278,1.0
2019,1,5,17,45,0,0,0,18.6,62.5,306,1.1
2019,1,5,18,45,0,0,0,16.8,67.3,335,1.1
2019,1,5,19,45,0,0,0,14.4,73.7,3,1.4
2019,1,5,20,45,0,0,0,12.4,77.1,18,1.7
2019,1,5,21,45,0,0,0,11.4,79.1,21,1.8
2019,1,5,22,45,0,0,0,10.8,81.4,18,1.6
2019,1,5,23,45,0,0,0,10.7,81.2,17,1.4
2019,1,6,0,45,0,0,0,10.5,81.7,29,1.0
2019,1,6,1,45,0,0,0,10.0,83.9,34,0.7
2019,1,6,2,45,0,0,0,9.6,88.6,42,0.8
2019,1,6,3,45,0,0,0,9.4,92.5,52,0.9
2019,1,6,4,45,0,0,0,10.0,90.7,49,1.0
2019,1,6,5,45,0,0,0,10.6,88.6,53,1.1
2019,1,6,6,45,0,20,20,11.4,87.2,58,1.1
2019,1,6,7,45,68,119,141,12.5,84.2,62,1.1
2019,1,6,8,45,407,167,339,15.0,79.1,76,1.1
2019,1,6,9,45,516,206,488,19.0,63.2,99,1.5
2019,1,6,10,45,584,223,586,22.2,48.3,118,2.0
2019,1,6,11,45,655,208,630,23.5,44.3,129,2.2
2019,1,6,12,45,644,197,592,24.7,39.9,135,2.1
2019,1,6,13,45,575,181,484,25.6,35.8,137,1.8
2019,1,6,14,45,439,148,321,23.9,42.5,139,1.5
2019,1,6,15,45,234,87,142,21.8,53.4,131,1.2
2019,1,6,16,45,21,14,16,21.7,54.4,96,1.2
2019,1,6,17,45,0,0,0,20.3,56.9,71,1.5
2019,1,6,18,45,0,0,0,18.1,64.9,55,1.7
2019,1,6,19,45,0,0,0,15.9,69.6,38,1.8
2019,1,6,20,45,0,0,0,14.4,70.2,32,1.7
2019,1,6,21,45,0,0,0,13.3,73.2,34,1.4
2019,1,6,22,45,0,0,0,12.5,77.1,29,0.9
2019,1,6,23,45,0,0,0,12.5,77.1,1,0.8
2019,1,7,0,45,0,0,0,12.2,77.1,342,1.3
2019,1,7,1,45,0,0,0,12.0,76.5,336,1.7
2019,1,7,2,45,0,0,0,12.8,74.4,334,1.8
2019,1,7,3,45,0,0,0,13.8,71.8,330,1.6
2019,1,7,4,45,0,0,0,14.6,71.7,328,1.5
2019,1,7,5,45,0,0,0,15.4,72.3,334,1.6
2019,1,7,6,45,0,7,7,16.0,71.8,341,1.7
2019,1,7,7,45,0,43,43,16.2,73.0,2,2.0
2019,1,7,8,45,0,125,125,15.8,76.6,27,2.2
2019,1,7,9,45,55,278,308,17.6,74.2,39,2.3
2019,1,7,10,45,47,344,373,20.4,65.1,38,2.5
2019,1,7,11,45,97,356,418,22.0,55.8,34,2.3
2019,1,7,12,45,269,303,470,23.2,47.3,28,1.8
2019,1,7,13,45,94,271,324,23.7,43.6,8,1.3
2019,1,7,14,45,1,167,167,22.2,51.4,343,1.0
2019,1,7,15,45,7,77,78,20.1,62.2,322,1.3
2019,1,7,16,45,5,13,14,19.2,66.2,312,2.2
2019,1,7,17,45,0,0,0,18.7,67.4,312,2.6
2019,1,7,18,45,0,0,0,18.0,68.7,315,2.3
2019,1,7,19,45,0,0,0,16.5,70.4,318,2.1
2019,1,7,20,45,0,0,0,14.9,71.8,321,1.9
2019,1,7,21,45,0,0,0,13.6,76.6,324,1.7
2019,1,7,22,45,0,0,0,13.0,80.9,322,1.5
2019,1,7,23,45,0,0,0,12.7,83.4,316,1.5
2019,1,8,0,45,0,0,0,12.0,87.0,311,1.5
2019,1,8,1,45,0,0,0,11.5,89.0,308,1.5
2019,1,8,2,45,0,0,0,10.6,89.8,302,1.5
2019,1,8,3,45,0,0,0,10.0,90.4,290,1.6
2019,1,8,4,45,0,0,0,10.6,89.2,293,1.8
2019,1,8,5,45,0,0,0,11.1,87.8,299,1.7
2019,1,8,6,45,0,17,17,11.6,84.6,295,1.4
2019,1,8,7,45,2,114,114,13.8,76.4,281,1.3
2019,1,8,8,45,264,189,303,16.6,68.4,261,1.6
2019,1,8,9,45,401,234,454,18.7,61.5,258,2.4
2019,1,8,10,45,471,258,553,21.3,53.3,264,2.9
2019,1,8,11,45,585,235,614,23.3,47.9,271,3.1
2019,1,8,12,45,584,220,580,24.3,43.8,272,3.2
2019,1,8,13,45,523,197,475,25.2,40.4,268,3.4
2019,1,8,14,45,370,160,309,23.7,44.6,268,3.5
2019,1,8,15,45,192,91,137,21.7,52.0,269,3.0
2019,1,8,16,45,17,15,16,20.1,57.0,268,2.4
2019,1,8,17,45,0,0,0,18.8,59.7,270,2.6
2019,1,8,18,45,0,0,0,17.8,61.3,273,2.6
2019,1,8,19,45,0,0,0,16.0,67.2,279,2.5
2019,1,8,20,45,0,0,0,14.4,73.4,288,2.5
2019,1,8,21,45,0,0,0,13.6,77.0,298,2.3
2019,1,8,22,45,0,0,0,13.8,76.3,302,2.0
2019,1,8,23,45,0,0,0,14.3,74.6,298,1.6
2019,1,9,0,45,0,0,0,13.8,76.3,294,1.4
2019,1,9,1,45,0,0,0,12.8,79.6,291,1.3
2019,1,9,2,45,0,0,0,11.7,87.9,288,1.3
2019,1,9,3,45,0,0,0,11.2,94.5,284,1.2
2019,1,9,4,45,0,0,0,11.5,92.6,276,1.0
2019,1,9,5,45,0,0,0,11.7,90.8,264,0.9
2019,1,9,6,45,1,24,24,12.6,87.6,256,1.0
2019,1,9,7,45,10,116,118,13.6,84.0,257,1.1
2019,1,9,8,45,6,237,240,13.8,81.8,256,1.0
2019,1,9,9,45,173,301,398,16.0,71.7,249,1.0
2019,1,9,10,45,407,278,535,19.6,60.5,241,1.1
2019,1,9,11,45,464,269,570,21.5,56.9,241,1.4
2019,1,9,12,45,432,260,528,22.2,54.0,248,1.6
2019,1,9,13,45,369,229,426,22.9,47.2,251,2.0
2019,1,9,14,45,267,172,280,22.0,52.1,253,2.5
2019,1,9,15,45,123,93,123,20.5,64.2,257,2.2
2019,1,9,16,45,9,14,15,19.2,68.7,256,2.1
2019,1,9,17,45,0,0,0,18.3,68.7,260,2.2
2019,1,9,18,45,0,0,0,18.1,66.2,272,2.3
2019,1,9,19,45,0,0,0,16.7,69.3,283,2.3
2019,1,9,20,45,0,0,0,15.2,73.0,286,2.3
2019,1,9,21,45,0,0,0,14.2,75.6,289,2.3
2019,1,9,22,45,0,0,0,13.6,77.6,293,2.1
2019,1,9,23,45,0,0,0,13.8,77.3,297,1.7
2019,1,10,0,45,0,0,0,13.2,79.4,293,1.3
2019,1,10,1,45,0,0,0,11.9,84.4,285,1.0
2019,1,10,2,45,0,0,0,10.5,87.4,286,0.9
2019,1,10,3,45,0,0,0,9.4,88.8,295,0.7
2019,1,10,4,45,0,0,0,9.6,91.3,311,0.5
2019,1,10,5,45,0,0,0,10.0,92.6,328,0.5
2019,1,10,6,45,0,14,14,10.7,90.2,319,0.3
2019,1,10,7,45,0,70,70,12.0,87.3,241,0.1
2019,1,10,8,45,0,159,159,13.3,85.1,171,0.3
