Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,DNI Units,DHI Units,GHI Units,Temperature Units,Relative Humidity Units,Wind Direction Units,Wind Speed Units
Solcast,-,-,-,-,26.5663,86.6735,5.75,95,5.75,w/m2,w/m2,w/m2,c,%,Degrees,m/s
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Temperature,Relative Humidity,Wind Direction,Wind Speed
2018,1,1,0,45,0,0,0,12.0,92.7,286,1.6
2018,1,1,1,45,0,0,0,11.3,92.6,285,1.7
2018,1,1,2,45,0,0,0,10.7,93.9,292,1.7
2018,1,1,3,45,0,0,0,10.5,95.4,297,1.6
2018,1,1,4,45,0,0,0,10.8,95.4,287,1.4
2018,1,1,5,45,0,0,0,11.1,96.1,272,1.3
2018,1,1,6,45,1,15,15,11.8,93.0,270,1.3
2018,1,1,7,45,0,65,65,13.0,87.1,280,0.9
2018,1,1,8,45,0,159,159,13.9,83.5,283,0.7
2018,1,1,9,45,0,300,300,16.4,75.1,281,0.8
2018,1,1,10,45,53,390,424,19.2,65.2,283,0.9
2018,1,1,11,45,457,275,568,20.3,61.3,274,0.8
2018,1,1,12,45,622,195,570,21.4,56.8,249,0.8
2018,1,1,13,45,551,174,456,22.3,53.1,236,1.1
2018,1,1,14,45,355,145,278,20.7,61.8,236,1.4
2018,1,1,15,45,151,77,109,18.4,75.8,249,1.5
2018,1,1,16,45,7,7,8,17.3,81.2,270,1.8
2018,1,1,17,45,0,0,0,17.0,80.7,281,2.0
2018,1,1,18,45,0,0,0,16.7,80.3,289,2.0
2018,1,1,19,45,0,0,0,14.9,84.5,292,2.0
2018,1,1,20,45,0,0,0,13.6,88.0,292,2.0
2018,1,1,21,45,0,0,0,12.9,89.7,290,1.9
2018,1,1,22,45,0,0,0,12.4,90.9,290,1.8
2018,1,1,23,45,0,0,0,12.2,90.6,294,1.7
2018,1,2,0,45,0,0,0,11.7,91.7,302,1.7
2018,1,2,1,45,0,0,0,11.1,93.2,305,1.7
2018,1,2,2,45,0,0,0,11.2,94.8,306,1.5
2018,1,2,3,45,0,0,0,11.3,96.4,308,1.5
2018,1,2,4,45,0,0,0,11.4,96.1,304,1.4
2018,1,2,5,45,0,0,0,11.6,95.8,291,1.6
2018,1,2,6,45,1,16,16,12.1,93.0,284,1.9
2018,1,2,7,45,0,68,68,13.0,88.8,285,1.9
2018,1,2,8,45,0,176,176,13.6,84.3,287,1.7
2018,1,2,9,45,0,272,272,16.2,74.3,285,1.7
2018,1,2,10,45,0,296,296,18.8,63.0,275,1.5
2018,1,2,11,45,0,324,324,19.5,57.7,250,1.5
2018,1,2,12,45,0,306,306,20.3,54.6,237,2.0
2018,1,2,13,45,62,290,319,21.3,50.3,247,2.7
2018,1,2,14,45,282,156,261,20.2,55.8,260,3.2
2018,1,2,15,45,138,77,106,18.2,64.9,267,3.1
2018,1,2,16,45,6,7,8,17.4,66.3,273,2.8
2018,1,2,17,45,0,0,0,16.9,65.8,277,2.7
2018,1,2,18,45,0,0,0,16.0,66.2,278,2.8
2018,1,2,19,45,0,0,0,14.5,68.2,281,2.9
2018,1,2,20,45,0,0,0,13.4,69.1,285,2.7
2018,1,2,21,45,0,0,0,12.7,70.9,285,2.5
2018,1,2,22,45,0,0,0,12.0,73.2,284,2.5
2018,1,2,23,45,0,0,0,11.7,76.5,283,2.5
2018,1,3,0,45,0,0,0,11.1,80.9,281,2.4
2018,1,3,1,45,0,0,0,10.5,83.7,278,2.4
2018,1,3,2,45,0,0,0,10.2,88.3,278,2.6
2018,1,3,3,45,0,0,0,9.8,93.5,280,2.6
2018,1,3,4,45,0,0,0,9.7,95.4,281,2.4
