Year,Month,Day,Hour,TH1,TH2
2013,1,8,4,0,0.71653
2013,1,8,5,0,0.76091
2013,1,8,6,0,0.76966
2013,1,8,7,0,0.7778
2013,1,8,8,0,0.78278
2013,1,8,9,0,0.77541
2013,1,8,10,0,0.69686
2013,1,8,11,0,0.69946
2013,1,8,12,0,0.626185
2013,1,8,13,0,0.57325
2013,1,8,14,0,0.502225
2013,1,8,15,0,0.473185
2013,1,8,16,0,0.4956625
2013,1,8,17,0,0.494943
2013,1,8,18,0,0.4783355
2013,1,8,19,0,0.4855025
2013,1,8,20,0,0.474784
2013,1,8,21,0,0.4697305
2013,1,8,22,0,0.4259065
2013,1,8,23,0,0.437412
2013,1,9,0,0,0.4716465
2013,1,9,1,0,0.461036
2013,1,9,2,0,0.4725945
2013,1,9,3,0,0.551755
2013,1,9,4,0,0.64708
2013,1,9,5,0,0.70261
2013,1,9,6,0,0.745315
2013,1,9,7,0,0.763835
2013,1,9,8,0,0.7705
2013,1,9,9,0,0.765325
2013,1,9,10,0,0.76447
2013,1,9,11,0,0.709905
2013,1,9,12,0,0.65029
2013,1,9,13,0,0.609125
2013,1,9,14,0,0.60042
2013,1,9,15,0,0.573265
2013,1,9,16,0,0.51922
2013,1,9,17,0,0.4928435
2013,1,9,18,0,0.464824
2013,1,9,19,0,0.435454
2013,1,9,20,0,0.4415315
2013,1,9,21,0,0.4438575
2013,1,9,22,0,0.41271
2013,1,9,23,0,0.444013
2013,1,10,0,0,0.4772195
2013,1,10,1,0,0.47811
2013,1,10,2,0,0.4618375
2013,1,10,3,0,0.511055
2013,1,10,4,0,0.62775
2013,1,10,5,0,0.68768
2013,1,10,6,0,0.72177
2013,1,10,7,0,0.7276
2013,1,10,8,0,0.733895
2013,1,10,9,0,0.733915
2013,1,10,10,0,0.72457
2013,1,10,11,0,0.668475
2013,1,10,12,0,0.596895
2013,1,10,13,0,0.522265
2013,1,10,14,0,0.4991215
2013,1,10,15,0,0.4956545
2013,1,10,16,0,0.497914
2013,1,10,17,0,0.4859345
2013,1,10,18,0,0.463613
2013,1,10,19,0,0.450333
2013,1,10,20,0,0.464658
2013,1,10,21,0,0.460203
2013,1,10,22,0,0.4565495
2013,1,10,23,0,0.437711
2013,1,11,0,0,0.462484
2013,1,11,1,0,0.470117
2013,1,11,2,0,0.4572275
2013,1,11,3,0,0.438362
2013,1,11,4,0,0.525
2013,1,11,5,0,0.64288
2013,1,11,6,0,0.71513
2013,1,11,7,0,0.74998
2013,1,11,8,0,0.76173
2013,1,11,9,0,0.754885
2013,1,11,10,0,0.65146
2013,1,11,11,0,0.527485
2013,1,11,12,0,0.486624
2013,1,11,13,0,0.4509395
2013,1,11,14,0,0.425371
2013,1,11,15,0,0.3934605
2013,1,11,16,0,0.393958
2013,1,11,17,0,0.4283615
2013,1,11,18,0,0.4301865
2013,1,11,19,0,0.431589
2013,1,11,20,0,0.4163915
2013,1,11,21,0,0.389706
2013,1,11,22,0,0.4260235
2013,1,11,23,0,0.380366
2013,1,12,0,0,0.4280125
2013,1,12,1,0,0.3961345
2013,1,12,2,0,0.3854815
2013,1,12,3,0,0.3991155
2013,1,12,4,0,0.523955
2013,1,12,5,0,0.602865
2013,1,12,6,0,0.666395
