Node,Code,Fraction,Hydro,Hydro RoR,Hydro Peaking 
Sudurpaschim,SP,1,731.97,731.97,0
Karnali,KP,1,1037.2,1037.2,0
Lumbini,LP,1,123.084,123.084,0
Gandaki,GP,1,4107.92,4107.92,0
Bagmati,BP,1,3783.652,3783,0.652
Madhesh,MP,1,0,0,0
Eastern,EP,1,3485.86,3485.86,0
TanakpurIndia,TI,0,0,0,0
GorakhpurIndia,GI,0,0,0,0
MuzzafurIndia,MI,0,0,0,0
KataiyaIndia,KI,0,0,0,0
